"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Matt Duffy","Rays","3B","547.4","394","($15.7)","($15.1)","($1.1)","($14.3)","($2.0)","($48.2)","$11.8","($35.4)"
"Franchy Cordero","Padres","OF","461.9","340","($15.8)","($16.3)","($0.4)","($10.0)","($6.0)","($48.5)","$11.8","($35.6)"
"Scott Kingery","Phillies","SS","442.3","421","($14.1)","($13.9)","$0.8","($11.1)","($9.3)","($47.6)","$10.5","($36.1)"
"JaCoby Jones","Tigers","OF","592.4","400","($15.3)","($14.9)","$1.2","($11.2)","($9.8)","($49.9)","$11.8","($37.1)"
"Michael A. Taylor","Nationals","OF","522.3","318","($17.5)","($18.2)","$4.0","($12.1)","($6.4)","($50.1)","$11.8","($37.3)"
"Hunter Dozier","Royals","1B/3B","554.8","427","($13.5)","($14.5)","($3.3)","($10.4)","($8.4)","($50.1)","$11.8","($37.4)"
"Eric Thames","Brewers","1B/OF","509.5","258","($17.5)","($18.7)","($3.6)","($9.3)","($1.8)","($50.9)","$11.8","($38.0)"
"Matt Kemp","Reds","OF","309.5","281","($15.0)","($18.1)","($5.5)","($9.2)","($3.3)","($51.1)","$11.8","($38.3)"
"Todd Frazier","Mets","3B","566.4","299","($16.6)","($18.4)","($3.2)","($8.9)","($4.3)","($51.4)","$11.8","($38.6)"
"Avisail Garcia","Rays","OF","392.9","318","($15.5)","($17.2)","($4.1)","($10.4)","($4.4)","($51.7)","$11.8","($38.8)"
"Erik Gonzalez","Pirates","2B/3B","594.3","331","($18.1)","($18.6)","($1.7)","($14.3)","($7.1)","($59.8)","$19.7","($39.2)"
"Eduardo Nunez","Red Sox","2B/3B","476.3","238","($19.9)","($20.5)","($2.0)","($14.8)","($2.7)","($59.9)","$19.7","($39.2)"
"Jedd Gyorko","Cardinals","3B","584.7","305","($16.0)","($18.0)","($4.7)","($10.2)","($3.1)","($52.0)","$11.8","($39.2)"
"D.J. Stewart","Orioles","OF/DH","591.5","303","($18.1)","($18.1)","($1.6)","($11.4)","($3.1)","($52.3)","$11.8","($39.5)"
"J.P. Crawford","Mariners","SS","567.2","387","($16.3)","($15.5)","($2.9)","($12.4)","($4.1)","($51.2)","$10.5","($39.6)"
"Mac Williamson","Giants","OF","566.7","375","($14.6)","($17.0)","($3.8)","($9.1)","($8.0)","($52.5)","$11.8","($39.7)"
"Fernando Tatis Jr.","Padres","SS","281.2","336","($17.4)","($17.3)","$0.0","($11.5)","($7.1)","($53.2)","$10.5","($41.7)"
"Tyler O'Neill","Cardinals","OF","378.9","230","($17.6)","($20.2)","($4.2)","($9.3)","($3.6)","($54.7)","$11.8","($41.9)"
"Yandy Diaz","Rays","1B/3B/DH","508.6","331","($19.0)","($17.6)","($4.4)","($15.8)","$2.1","($54.9)","$11.8","($42.1)"
"Kyle Tucker","Astros","OF","302.0","240","($18.9)","($19.7)","($1.8)","($11.9)","($2.8)","($55.2)","$11.8","($42.3)"
"Matt Adams","Nationals","1B","563.3","269","($16.4)","($19.0)","($5.4)","($9.5)","($3.3)","($53.6)","$10.3","($42.3)"
"Franklin Barreto","Athletics","2B","551.7","230","($21.0)","($21.2)","($3.2)","($13.2)","($5.0)","($63.5)","$19.7","($42.8)"
"Tony Kemp","Astros","OF","596.7","293","($19.8)","($18.2)","($0.1)","($16.1)","($1.6)","($55.8)","$11.8","($43.0)"
"Greg Allen","Indians","OF","295.3","297","($20.6)","($18.7)","$3.6","($16.4)","($3.8)","($56.0)","$11.8","($43.1)"
"Yangervis Solarte","Giants","2B/3B","560.3","236","($20.6)","($21.8)","($5.0)","($14.1)","($3.1)","($64.6)","$19.7","($44.0)"
"Denard Span","","OF","599.9","280","($20.4)","($18.1)","($2.4)","($14.1)","($2.0)","($57.0)","$11.8","($44.2)"
"Jordy Mercer","Tigers","SS","589.8","344","($17.3)","($16.8)","($4.8)","($13.3)","($3.6)","($55.9)","$10.5","($44.3)"
"Didi Gregorius","Yankees","SS","398.3","247","($18.2)","($19.3)","($3.6)","($11.9)","($2.9)","($55.9)","$10.5","($44.4)"
"Jung Ho Kang","Pirates","3B","497.3","225","($19.2)","($21.0)","($4.4)","($11.9)","($0.7)","($57.2)","$11.8","($44.4)"
"Austin Slater","Giants","1B/OF","599.7","317","($19.0)","($19.3)","($2.2)","($14.6)","($2.9)","($57.9)","$11.8","($45.1)"
"Addison Russell","Cubs","SS","571.2","306","($17.5)","($19.0)","($4.5)","($12.7)","($3.0)","($56.7)","$10.5","($45.2)"
"Chad Pinder","Athletics","2B/OF","526.8","213","($21.6)","($22.2)","($4.9)","($13.7)","($3.7)","($66.0)","$19.7","($45.3)"
"Adam Engel","White Sox","OF","587.8","350","($18.9)","($17.8)","$1.8","($14.0)","($9.4)","($58.2)","$11.8","($45.4)"
"Joey Rickard","Orioles","OF","999.0","328","($19.4)","($17.9)","($2.3)","($14.3)","($4.4)","($58.3)","$11.8","($45.5)"
"Austin Dean","Marlins","OF","599.0","307","($18.2)","($19.7)","($4.7)","($13.2)","($3.3)","($59.0)","$11.8","($46.2)"
"Chris Owings","Royals","OF","583.3","301","($19.8)","($19.4)","$0.1","($15.2)","($5.5)","($59.7)","$11.8","($46.9)"
"Daniel Descalso","Cubs","2B/3B","597.5","203","($23.0)","($22.8)","($5.2)","($15.4)","($1.3)","($67.7)","$19.7","($47.0)"
"Nathaniel Lowe","Rays","1B","564.8","236","($19.6)","($20.2)","($5.2)","($12.3)","($1.2)","($58.5)","$10.3","($47.2)"
"Alex Verdugo","Dodgers","OF","492.5","257","($19.9)","($20.3)","($3.9)","($14.1)","($2.0)","($60.2)","$11.8","($47.4)"
"Mikie Mahtook","Tigers","OF","600.2","266","($19.5)","($19.8)","($3.3)","($13.0)","($4.6)","($60.2)","$11.8","($47.4)"
"Daniel Robertson","Rays","2B/SS","567.5","283","($20.1)","($19.3)","($4.4)","($14.2)","($1.0)","($59.1)","$10.5","($47.5)"
"Tim Beckham","Mariners","3B/SS","554.1","326","($17.4)","($18.5)","($4.1)","($11.8)","($7.3)","($59.1)","$10.5","($47.6)"
"Brett Phillips","Royals","OF","598.5","343","($18.6)","($18.5)","($2.2)","($13.2)","($8.3)","($60.8)","$11.8","($48.0)"
"Brock Holt","Red Sox","2B/SS","585.7","269","($20.6)","($19.7)","($2.5)","($16.3)","($0.7)","($59.7)","$10.5","($48.1)"
"Wilmer Difo","Nationals","2B/3B","594.3","218","($22.8)","($23.5)","($2.7)","($16.6)","($3.2)","($68.8)","$19.7","($48.1)"
"Troy Tulowitzki","Yankees","SS","496.0","241","($19.2)","($20.3)","($5.0)","($11.9)","($3.3)","($59.8)","$10.5","($48.3)"
"Adam Duvall","Braves","OF","583.3","248","($18.7)","($20.9)","($4.6)","($11.4)","($5.7)","($61.2)","$11.8","($48.3)"
"Brandon Drury","Blue Jays","1B/2B/3B/SS/DH","583.1","301","($18.8)","($19.1)","($4.7)","($13.5)","($4.6)","($60.7)","$10.5","($49.2)"
"Peter O'Brien","Marlins","1B/OF","572.9","289","($18.2)","($20.4)","($5.4)","($9.6)","($9.4)","($63.0)","$11.8","($50.2)"
"Lonnie Chisenhall","Pirates","OF","572.7","239","($20.5)","($21.7)","($4.4)","($14.2)","($2.4)","($63.3)","$11.8","($50.5)"
"J.T. Riddle","Marlins","SS","597.2","351","($18.0)","($19.2)","($4.0)","($13.6)","($7.4)","($62.2)","$10.5","($50.7)"
"Gerardo Parra","Giants","OF","582.5","302","($19.7)","($20.7)","($2.6)","($15.6)","($4.9)","($63.6)","$11.8","($50.7)"
"Greg Bird","Yankees","1B","507.3","203","($20.9)","($21.5)","($5.4)","($11.9)","($2.5)","($62.3)","$10.3","($51.0)"
"Howie Kendrick","Nationals","2B","600.3","145","($25.2)","($25.0)","($4.2)","($16.9)","($0.6)","($72.0)","$19.7","($51.3)"
"Roman Quinn","Phillies","OF","536.8","200","($23.6)","($22.9)","$1.5","($16.4)","($3.1)","($64.5)","$11.8","($51.6)"
"Dan Vogelbach","Mariners","1B","594.2","195","($21.7)","($22.4)","($5.5)","($13.4)","$0.0","($63.0)","$10.3","($51.7)"
"Raimel Tapia","Rockies","OF/DH","540.7","204","($22.5)","($22.3)","($1.9)","($16.5)","($1.8)","($64.9)","$11.8","($52.1)"
