"PlayerName","Team","POS","ADP","PA","mRBI","mR","mSB","mHR","mOBP","PTS","aPOS","Dollars"
"Jose Reyes","","3B/SS","999.0","124","($26.4)","($26.3)","($3.6)","($17.1)","($1.9)","($75.4)","$10.5","($63.8)"
"Jose Rondon","White Sox","1B/2B/3B/SS/DH","999.0","130","($25.7)","($26.2)","($4.4)","($16.2)","($3.2)","($75.6)","$10.5","($64.1)"
"Dylan Moore","Mariners","1B","999.0","147","($25.9)","($25.9)","($3.2)","($17.0)","($3.5)","($75.4)","$10.3","($64.1)"
"Cameron Maybin","Giants","OF","597.9","111","($27.6)","($27.3)","($3.3)","($18.0)","($0.9)","($77.0)","$11.8","($64.2)"
"Adrian Sanchez","Nationals","2B/3B","999.0","46","($29.7)","($30.0)","($5.2)","($18.9)","($1.1)","($85.0)","$19.7","($64.3)"
"Tyler Austin","Twins","1B/DH","586.3","101","($26.1)","($26.8)","($5.4)","($15.7)","($1.6)","($75.7)","$10.3","($64.4)"
"Guillermo Heredia","Rays","OF","999.0","121","($27.0)","($26.7)","($4.8)","($17.8)","($0.9)","($77.2)","$11.8","($64.4)"
"Ben Gamel","Brewers","OF","597.8","111","($27.1)","($27.0)","($4.6)","($17.9)","($0.6)","($77.2)","$11.8","($64.4)"
"Christian Arroyo","Rays","2B/3B/DH","600.2","33","($30.1)","($30.4)","($5.6)","($18.8)","($0.5)","($85.3)","$19.7","($64.6)"
"Kyle Farmer","Reds","3B","999.0","136","($25.9)","($26.4)","($5.3)","($17.4)","($2.5)","($77.5)","$11.8","($64.7)"
"Luis Guillorme","Mets","2B/3B","999.0","40","($30.1)","($30.3)","($5.6)","($19.0)","($0.4)","($85.6)","$19.7","($64.9)"
"Alcides Escobar","Orioles","3B/SS","597.1","189","($25.1)","($24.9)","($4.1)","($17.6)","($4.7)","($76.4)","$10.5","($64.9)"
"Andy Young","Diamondbacks","2B","999.0","28","($30.2)","($30.6)","($5.7)","($18.6)","($0.4)","($85.6)","$19.7","($64.9)"
"Ramon Urias","Cardinals","2B","999.0","27","($30.3)","($30.6)","($5.7)","($18.8)","($0.4)","($85.8)","$19.7","($65.1)"
"Mike Tauchman","Rockies","OF","600.4","91","($27.6)","($27.6)","($4.4)","($17.9)","($0.5)","($78.0)","$11.8","($65.2)"
"Jose Osuna","Pirates","1B/3B/OF","999.0","92","($27.1)","($27.7)","($5.2)","($17.3)","($1.1)","($78.3)","$11.8","($65.5)"
"Andrew Toles","Dodgers","OF","600.9","106","($27.0)","($27.3)","($4.8)","($17.3)","($2.2)","($78.6)","$11.8","($65.8)"
"Travis Jankowski","Padres","OF","563.0","100","($28.6)","($27.5)","($2.9)","($18.5)","($1.1)","($78.6)","$11.8","($65.8)"
"Brandon Dixon","Tigers","1B/OF","999.0","92","($27.3)","($27.7)","($4.5)","($17.1)","($2.0)","($78.7)","$11.8","($65.8)"
"Charlie Culberson","Braves","3B/SS/OF","584.9","135","($26.0)","($26.5)","($4.7)","($17.1)","($3.2)","($77.5)","$10.5","($66.0)"
"Pablo Sandoval","Giants","1B/3B","600.8","102","($26.9)","($27.8)","($5.6)","($16.9)","($2.0)","($79.2)","$11.8","($66.4)"
"Steve Wilkerson","Orioles","2B/3B/SS","999.0","143","($26.5)","($26.4)","($4.5)","($17.5)","($3.1)","($78.1)","$10.5","($66.6)"
"Rosell Herrera","Marlins","OF","999.0","111","($27.7)","($27.7)","($3.9)","($18.3)","($1.8)","($79.5)","$11.8","($66.6)"
"Chris Shaw","Giants","OF","600.3","108","($26.7)","($27.7)","($5.6)","($16.6)","($2.9)","($79.5)","$11.8","($66.7)"
"Pat Valaika","Rockies","1B/2B/3B/SS","999.0","101","($26.7)","($27.4)","($5.2)","($16.9)","($2.5)","($78.7)","$10.5","($67.2)"
"Austin Riley","Braves","3B","581.3","75","($27.8)","($28.4)","($5.7)","($17.1)","($1.2)","($80.2)","$11.8","($67.4)"
"Zack Granite","Rangers","OF","601.0","80","($28.6)","($28.4)","($4.0)","($18.6)","($0.9)","($80.4)","$11.8","($67.6)"
"Ehire Adrianza","Twins","3B/SS","600.9","96","($27.7)","($27.6)","($4.8)","($18.0)","($1.3)","($79.3)","$10.5","($67.8)"
"Derek Fisher","Astros","OF","600.6","65","($28.5)","($28.6)","($4.8)","($17.5)","($1.3)","($80.7)","$11.8","($67.9)"
"Drew Ferguson","Giants","OF","999.0","86","($28.4)","($28.5)","($4.8)","($18.3)","($0.9)","($80.9)","$11.8","($68.0)"
"Jacoby Ellsbury","Yankees","OF","999.0","70","($28.8)","($28.4)","($4.5)","($18.3)","($1.0)","($81.0)","$11.8","($68.2)"
"Andrew Romine","","P/1B/2B/3B/SS/OF","999.0","132","($27.0)","($27.0)","($4.6)","($18.1)","($3.2)","($79.9)","$10.5","($68.4)"
"Magneuris Sierra","Marlins","OF","600.7","129","($27.6)","($27.9)","($3.5)","($18.6)","($3.6)","($81.2)","$11.8","($68.4)"
"J.D. Davis","Mets","3B","592.8","67","($28.3)","($28.9)","($5.6)","($17.4)","($1.2)","($81.5)","$11.8","($68.7)"
"Mitch Walding","Phillies","3B","999.0","73","($28.4)","($28.7)","($5.6)","($17.3)","($1.5)","($81.5)","$11.8","($68.7)"
"Patrick Wisdom","Rangers","1B/3B","599.2","65","($28.5)","($28.8)","($5.2)","($17.5)","($1.5)","($81.5)","$11.8","($68.8)"
"Ronny Rodriguez","Tigers","SS","999.0","79","($27.9)","($28.4)","($4.8)","($17.6)","($1.7)","($80.3)","$10.5","($68.8)"
"Socrates Brito","Diamondbacks","OF","999.0","73","($28.4)","($28.8)","($5.0)","($17.9)","($1.5)","($81.6)","$11.8","($68.8)"
"Anthony Alford","Blue Jays","OF/DH","598.1","74","($28.9)","($28.7)","($4.4)","($18.4)","($1.5)","($81.8)","$11.8","($69.0)"
"Jace Peterson","","3B/OF","999.0","66","($29.2)","($29.0)","($4.6)","($18.6)","($0.6)","($82.0)","$11.8","($69.2)"
"Preston Tucker","White Sox","OF","999.0","58","($28.8)","($29.1)","($5.7)","($17.6)","($1.2)","($82.4)","$11.8","($69.5)"
"Tyler Saladino","Brewers","SS","999.0","81","($28.3)","($28.4)","($4.6)","($17.9)","($1.7)","($81.1)","$10.5","($69.5)"
"Drew Robinson","Cardinals","OF","999.0","59","($29.0)","($29.2)","($5.2)","($17.9)","($1.2)","($82.4)","$11.8","($69.6)"
"Andrew Stevenson","Nationals","OF","999.0","65","($29.1)","($29.2)","($4.7)","($18.6)","($1.1)","($82.7)","$11.8","($69.9)"
"Joe McCarthy","Rays","1B","999.0","66","($28.8)","($28.8)","($5.1)","($18.0)","($0.5)","($81.2)","$10.3","($69.9)"
"Anthony Santander","Orioles","OF","999.0","52","($29.1)","($29.4)","($5.5)","($18.0)","($1.0)","($82.9)","$11.8","($70.1)"
"Austin Hays","Orioles","OF","555.6","47","($29.2)","($29.6)","($5.4)","($17.8)","($1.0)","($83.0)","$11.8","($70.2)"
"Oscar Mercado","Indians","SS","597.3","67","($29.0)","($29.0)","($4.0)","($18.5)","($1.4)","($81.8)","$10.5","($70.3)"
"Connor Joe","Reds","1B/3B","999.0","54","($29.3)","($29.5)","($5.6)","($18.2)","($0.8)","($83.3)","$11.8","($70.6)"
"Kevin Cron","Diamondbacks","1B","600.3","61","($28.6)","($29.1)","($5.7)","($17.4)","($1.3)","($82.2)","$10.3","($70.9)"
"Carlos Gomez","Mets","OF","600.5","47","($29.5)","($29.9)","($5.2)","($18.2)","($1.0)","($83.7)","$11.8","($70.9)"
"Jonathan Davis","Blue Jays","OF/DH","999.0","48","($29.7)","($29.7)","($5.0)","($18.6)","($0.8)","($83.8)","$11.8","($70.9)"
"Hanley Ramirez","Indians","1B","583.7","49","($28.9)","($29.4)","($5.5)","($17.8)","($0.6)","($82.2)","$10.3","($71.0)"
"Rowdy Tellez","Blue Jays","1B/DH","574.6","50","($28.9)","($29.4)","($5.5)","($17.9)","($0.6)","($82.3)","$10.3","($71.0)"
"Mark Zagunis","Cubs","OF","999.0","45","($29.7)","($29.8)","($5.5)","($18.5)","($0.3)","($83.9)","$11.8","($71.1)"
"Richard Urena","Blue Jays","SS","999.0","77","($28.6)","($28.7)","($5.3)","($18.3)","($2.1)","($82.9)","$10.5","($71.4)"
"Ildemaro Vargas","Diamondbacks","2B/3B/SS","999.0","66","($28.9)","($29.2)","($5.2)","($18.6)","($1.0)","($83.0)","$10.5","($71.4)"
"Adeiny Hechavarria","Mets","SS","999.0","79","($28.5)","($28.9)","($5.4)","($18.3)","($1.8)","($83.0)","$10.5","($71.5)"
"Joey Curletta","Mariners","1B/OF","999.0","39","($29.8)","($30.0)","($5.7)","($18.3)","($0.7)","($84.6)","$11.8","($71.7)"
"Carlos Tocci","Rangers","OF","999.0","52","($29.7)","($29.7)","($5.3)","($18.9)","($1.0)","($84.6)","$11.8","($71.8)"
"Yonathan Daza","Rockies","OF","999.0","34","($30.0)","($30.3)","($5.4)","($19.0)","($0.2)","($84.8)","$11.8","($72.0)"
"Tyrone Taylor","Brewers","OF","999.0","40","($29.8)","($30.1)","($5.4)","($18.5)","($1.1)","($84.9)","$11.8","($72.0)"
"LaMonte Wade","Twins","OF","999.0","33","($30.1)","($30.2)","($5.6)","($18.8)","($0.1)","($84.9)","$11.8","($72.1)"
"Dylan Cozens","Phillies","OF","999.0","27","($30.1)","($30.5)","($5.5)","($18.3)","($0.6)","($85.1)","$11.8","($72.2)"
"Michael Reed","Twins","OF","999.0","27","($30.3)","($30.4)","($5.5)","($18.8)","($0.1)","($85.1)","$11.8","($72.3)"
"Mauricio Dubon","Brewers","2B/SS","598.7","47","($29.6)","($29.9)","($4.7)","($18.7)","($0.9)","($83.8)","$10.5","($72.3)"
"Ryan Cordell","White Sox","OF","999.0","33","($30.1)","($30.4)","($5.4)","($18.6)","($0.9)","($85.3)","$11.8","($72.5)"
"A.J. Reed","Astros","1B","598.0","40","($29.5)","($29.9)","($5.8)","($18.0)","($0.8)","($84.0)","$10.3","($72.8)"
"Hanser Alberto","Orioles","2B/3B/SS","999.0","46","($29.6)","($29.9)","($5.6)","($18.7)","($0.9)","($84.7)","$10.5","($73.2)"
"Bobby Bradley","Indians","1B","601.0","26","($30.1)","($30.4)","($5.8)","($18.3)","($0.5)","($85.1)","$10.3","($73.8)"
"Cole Tucker","Pirates","SS","600.8","34","($30.3)","($30.5)","($4.9)","($19.0)","($0.6)","($85.4)","$10.5","($73.9)"
"Sergio Alcantara","Tigers","SS","999.0","46","($30.0)","($30.1)","($5.4)","($19.1)","($1.0)","($85.5)","$10.5","($74.0)"
"Josh Fuentes","Rockies","1B","999.0","28","($30.1)","($30.5)","($5.7)","($18.7)","($0.3)","($85.3)","$10.3","($74.0)"
"Matt Thaiss","Angels","1B","598.2","33","($30.1)","($30.3)","($5.6)","($18.7)","($0.6)","($85.3)","$10.3","($74.0)"
"Breyvic Valera","Giants","2B/3B/SS/OF","999.0","32","($30.3)","($30.6)","($5.4)","($19.0)","($0.4)","($85.7)","$10.5","($74.1)"
"Willi Castro","Tigers","SS","999.0","33","($30.2)","($30.5)","($5.4)","($18.9)","($0.8)","($85.8)","$10.5","($74.2)"
"Dustin Peterson","Tigers","PH/PR","999.0","33","($30.1)","($30.3)","($5.7)","($18.7)","($0.6)","($85.4)","$3.1","($81.2)"
